timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint
5.600,1.3608781099319458,0.7195460796356201,0.5810599327087402,0.2965223491191864,0.0,0.0,1.0792884826660156,-0.7109464406967163,-0.938565731048584,-0.3594363331794739,0.0,0.0
5.700,1.36293363571167,0.7105237245559692,0.5830438137054443,0.3059777319431305,0.0,0.0,1.0791844129562378,-0.7159351706504822,-0.9415199160575867,-0.36130252480506897,0.0,0.0
5.800,1.3641927242279053,0.700491726398468,0.5857505798339844,0.32058194279670715,0.0,0.0,1.0761501789093018,-0.7192181944847107,-0.9400016069412231,-0.361172616481781,0.0,0.0
5.900,1.3648824294408162,0.7000943819681803,0.5855027635892233,0.3185063650210698,0.0,0.0,0.8888545160492262,-0.6667321721712748,-1.0438703894615173,-0.3972119291623433,0.0,0.0
6.000,1.3655721346537273,0.6996970375378927,0.585254947344462,0.31643078724543255,0.0,0.0,0.7015588531891506,-0.614246149857839,-1.1477391719818115,-0.43325124184290564,0.0,0.0
6.100,1.3662618398666382,0.699299693107605,0.5850071310997009,0.3143552094697952,0.0,0.0,0.5142631903290749,-0.5617601275444031,-1.2516079545021057,-0.469290554523468,0.0,0.0
6.200,1.366951545079549,0.6989023486773173,0.5847593148549398,0.3122796316941579,0.0,0.0,0.32696752746899926,-0.5092741052309673,-1.3554767370224,-0.5053298672040303,0.0,0.0
6.300,1.3676412502924602,0.6985050042470297,0.5845114986101786,0.31020405391852063,0.0,0.0,0.13967186460892356,-0.4567880829175313,-1.459345519542694,-0.5413691798845928,0.0,0.0
6.400,1.368330955505371,0.6981076598167419,0.5842636823654175,0.3081284761428833,0.0,0.0,-0.04762379825115204,-0.40430206060409546,-1.5632143020629883,-0.577408492565155,0.0,0.0
6.500,1.3692827224731445,0.7006990313529968,0.5828536748886108,0.2991446852684021,0.0,0.0,-0.07055240869522095,-0.40790069103240967,-1.5450023412704468,-0.5782354474067688,0.0,0.0
6.600,1.3692827224731445,0.7006990313529968,0.5828536748886108,0.2991446852684021,0.0,0.0,-0.07951191067695618,-0.4166771471500397,-1.5365395545959473,-0.5815785527229309,0.0,0.0
6.700,1.3656727075576782,0.704296350479126,0.5836546421051025,0.3069770634174347,0.0,0.0,-0.07452379912137985,-0.41815483570098877,-1.53901207447052,-0.5914942622184753,0.0,0.0
6.800,1.367375373840332,0.709679365158081,0.5808640718460083,0.2894280254840851,0.0,0.0,-0.10207023471593857,-0.41283562779426575,-1.5166759490966797,-0.5958760976791382,0.0,0.0
6.900,1.3648593425750732,0.7174432277679443,0.579589307308197,0.2844545543193817,0.0,0.0,-0.11558470129966736,-0.413004070520401,-1.504197597503662,-0.6032270789146423,0.0,0.0
7.000,1.364146113395691,0.7146108150482178,0.5809703469276428,0.2929411828517914,0.0,0.0,-0.09704774618148804,-0.41450783610343933,-1.5188466310501099,-0.6059191823005676,0.0,0.0
7.100,1.3687694072723389,0.7150911688804626,0.5838196277618408,0.2892093062400818,0.0,0.0,-0.10604625940322876,-0.41035598516464233,-1.5108338594436646,-0.6120816469192505,0.0,0.0
7.200,1.3733934164047241,0.7158905863761902,0.5809764862060547,0.26882195472717285,0.0,0.0,-0.11981070786714554,-0.4139844477176666,-1.4987906217575073,-0.6118260025978088,0.0,0.0
7.300,1.3769391775131226,0.7124155759811401,0.5801310539245605,0.2611522972583771,0.0,0.0,-0.11490976810455322,-0.42416319251060486,-1.5004901885986328,-0.6163672208786011,0.0,0.0
7.400,1.385878086090088,0.7140461802482605,0.5801467299461365,0.23775514960289001,0.0,0.0,-0.12407765537500381,-0.42820435762405396,-1.4919296503067017,-0.6166012287139893,0.0,0.0
7.500,1.383280634880066,0.7238529324531555,0.578363835811615,0.22958144545555115,0.0,0.0,-0.15186266601085663,-0.43504226207733154,-1.4671366214752197,-0.6144123077392578,0.0,0.0
7.600,1.383758306503296,0.7288609147071838,0.5763656497001648,0.21818611025810242,0.0,0.0,-0.1515066772699356,-0.4317775368690491,-1.4661338329315186,-0.6218311786651611,0.0,0.0
7.700,1.3771100044250488,0.7406134009361267,0.5761504769325256,0.22208742797374725,0.0,0.0,-0.1701665222644806,-0.4343681335449219,-1.4499139785766602,-0.6189335584640503,0.0,0.0
7.800,1.3737339973449707,0.7473763227462769,0.5756933689117432,0.2223718762397766,0.0,0.0,-0.14673075079917908,-0.4373387098312378,-1.4686671495437622,-0.6245821118354797,0.0,0.0
7.900,1.3655574321746826,0.7518653273582458,0.5727245807647705,0.22999298572540283,0.0,0.0,-0.1606868952512741,-0.44062477350234985,-1.4560205936431885,-0.6229641437530518,0.0,0.0
8.000,1.3702027797698975,0.7632663249969482,0.5719930529594421,0.20549044013023376,0.0,0.0,-0.16499678790569305,-0.4368079900741577,-1.4511398077011108,-0.6291947364807129,0.0,0.0
