timestamp,left_joint_0,left_joint_1,left_joint_2,left_joint_3,left_joint_4,right_joint_0,right_joint_1,right_joint_2,right_joint_3,right_joint_4
184.800,0.13569098112045552,0.18553654907965195,1.3031109898698097,0.7524590211756089,0.0,0.14615651483044906,-0.16335662220622976,-1.2104526898440193,0.798391861074111,0.0
184.900,0.12967097700810898,0.1773778913067836,1.3316930371756648,0.7461083285948809,0.0,0.13987474932390098,-0.1530452797225877,-1.2475754145313713,0.7949741552857792,0.0
185.000,0.12365097289576249,0.16921923353391538,1.3602750844815197,0.739757636014153,0.0,0.13359298381735296,-0.14273393723894567,-1.2846981392187231,0.7915564494974473,0.0
185.100,0.117630968783416,0.16106057576104704,1.388857131787375,0.7334069434334249,0.0,0.12731121831080494,-0.1324225947553036,-1.321820863906075,0.7881387437091154,0.0
185.200,0.11161096467106951,0.15290191798817881,1.41743917909323,0.727056250852697,0.0,0.12102945280425692,-0.12211125227166159,-1.3589435885934267,0.7847210379207836,0.0
185.300,0.10559096055872302,0.14474326021531048,1.446021226399085,0.720705558271969,0.0,0.11474768729770884,-0.11179990978801951,-1.3960663132807787,0.7813033321324516,0.0
185.400,0.09957095644637648,0.1365846024424422,1.4746032737049402,0.7143548656912411,0.0,0.10846592179116082,-0.1014885673043775,-1.4331890379681307,0.7778856263441198,0.0
185.500,0.09355095233402999,0.1284259446695739,1.5031853210107953,0.7080041731105131,0.0,0.1021841562846128,-0.09117722482073543,-1.4703117626554825,0.774467920555788,0.0
185.600,0.0875309482216835,0.12026728689670563,1.5317673683166504,0.7016534805297852,0.0,0.09590239077806473,-0.08086588233709335,-1.5074344873428345,0.771050214767456,0.0
185.700,0.08794635102937096,0.11867279510356878,1.5314243906422664,0.7000338043037214,0.0,0.10455625563075668,-0.09234208790095229,-1.4599834100196236,0.7758297057528245,0.0
185.800,0.08836175383705842,0.11707830331043194,1.5310814129678827,0.6984141280776576,0.0,0.11321012048344863,-0.10381829346481122,-1.4125323326964128,0.780609196738193,0.0
185.900,0.08877715664474588,0.11548381151729509,1.5307384352934987,0.6967944518515938,0.0,0.12186398533614058,-0.11529449902867016,-1.365081255373202,0.7853886877235613,0.0
186.000,0.08919255945243333,0.11388931972415824,1.530395457619115,0.6951747756255301,0.0,0.13051785018883252,-0.1267707045925291,-1.317630178049991,0.7901681787089297,0.0
186.100,0.0896079622601208,0.11229482793102138,1.530052479944731,0.6935550993994662,0.0,0.13917171504152448,-0.13824691015638801,-1.2701791007267802,0.7949476696942982,0.0
186.200,0.09002336506780825,0.11070033613788455,1.5297095022703473,0.6919354231734025,0.0,0.14782557989421644,-0.14972311572024696,-1.2227280234035693,0.7997271606796666,0.0
186.300,0.09043876787549571,0.1091058443447477,1.5293665245959633,0.6903157469473387,0.0,0.1564794447469084,-0.1611993212841059,-1.1752769460803585,0.804506651665035,0.0
186.400,0.09085417068318316,0.10751135255161084,1.5290235469215794,0.6886960707212749,0.0,0.16513330959960032,-0.17267552684796483,-1.1278258687571476,0.8092861426504034,0.0
186.500,0.09126957349087063,0.105916860758474,1.5286805692471956,0.6870763944952112,0.0,0.1737871744522923,-0.18415173241182375,-1.0803747914339368,0.8140656336357719,0.0
